state,Area name,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher
MO,Stone ,"3,268","8,032","8,489","4,462",13.5,33.1,35,18.4
MO,Sullivan ,693,"2,203","1,031",545,15.5,49.3,23.1,12.2
MO,Taney ,"4,252","12,801","13,629","6,940",11.3,34,36.2,18.4
MO,Texas ,"3,048","7,304","5,377","2,590",16.6,39.9,29.4,14.1
MO,Vernon ,"1,583","5,782","4,008","2,438",11.5,41.9,29,17.7
MO,Warren ,"2,823","8,915","7,183","4,317",12.1,38.4,30.9,18.6
MO,Washington ,"4,026","6,679","4,930","1,615",23.3,38.7,28.6,9.4
MO,Wayne ,"2,384","3,613","2,654",988,24.7,37.5,27.5,10.3
MO,Webster ,"3,260","9,500","7,777","4,180",13.2,38.4,31.5,16.9
MO,Worth ,191,622,407,259,12.9,42.1,27.5,17.5
MO,Wright ,"2,380","5,490","3,135","1,410",19.2,44.2,25.3,11.4
MO,St. Louis city,"28,768","51,909","62,051","76,966",13.1,23.6,28.2,35
MT,Beaverhead ,289,"1,846","1,940","2,242",4.6,29.2,30.7,35.5
MT,Big Horn ,912,"2,758","2,699","1,337",11.8,35.8,35,17.4
MT,Blaine ,450,"1,069","1,703",899,10.9,25.9,41.3,21.8
MT,Broadwater ,240,"1,571","1,311","1,156",5.6,36.7,30.6,27
MT,Carbon ,471,"2,320","2,684","2,574",5.9,28.8,33.3,32
MT,Carter ,70,357,386,172,7.1,36.2,39.2,17.5
MT,Cascade ,"4,574","17,475","18,811","14,389",8.3,31.6,34,26
MT,Chouteau ,275,"1,276","1,306","1,074",7,32.5,33.2,27.3
MT,Custer ,612,"2,470","3,370","1,869",7.4,29.7,40.5,22.5
MT,Daniels ,63,508,469,291,4.7,38.2,35.2,21.9
MT,Dawson ,378,"2,394","2,318","1,356",5.9,37.1,36,21
MT,Deer Lodge ,707,"2,621","2,411","1,208",10.2,37.7,34.7,17.4
MT,Fallon ,93,693,817,336,4.8,35.7,42.1,17.3
MT,Fergus ,562,"2,472","2,853","2,395",6.8,29.8,34.4,28.9
MT,Flathead ,"4,211","20,728","23,631","20,694",6.1,29.9,34.1,29.9
MT,Gallatin ,"2,188","12,497","19,252","32,642",3.3,18.8,28.9,49
MT,Garfield ,35,314,279,127,4.6,41.6,37,16.8
MT,Glacier ,886,"3,334","2,274","1,523",11.1,41.6,28.4,19
MT,Golden Valley ,30,229,165,148,5.2,40,28.8,25.9
MT,Granite ,215,827,789,665,8.6,33.1,31.6,26.6
MT,Hill ,"1,067","3,041","3,621","2,510",10.4,29.7,35.4,24.5
MT,Jefferson ,441,"2,435","2,764","2,909",5.2,28.5,32.3,34
MT,Judith Basin ,71,504,501,432,4.7,33.4,33.2,28.6
MT,Lake ,"1,790","6,056","6,816","5,708",8.8,29.7,33.5,28
MT,Lewis and Clark ,"2,356","11,498","15,025","18,118",5,24.5,32,38.6
MT,Liberty ,422,402,587,280,25,23.8,34.7,16.6
MT,Lincoln ,"1,798","5,162","4,822","2,988",12.2,34.9,32.6,20.2
MT,McCone ,82,492,431,193,6.8,41.1,36,16.1
MT,Madison ,302,"2,185","2,118","1,868",4.7,33.8,32.7,28.9
MT,Meagher ,80,598,420,387,5.4,40.3,28.3,26.1
MT,Mineral ,343,"1,154","1,132",549,10.8,36.3,35.6,17.3
MT,Missoula ,"3,471","16,405","24,461","32,817",4.5,21.3,31.7,42.5
MT,Musselshell ,365,"1,481","1,147",492,10.5,42.5,32.9,14.1
MT,Park ,563,"3,884","3,869","3,994",4.6,31.6,31.4,32.4
MT,Petroleum ,4,137,99,98,1.2,40.5,29.3,29
MT,Phillips ,302,"1,019",941,583,10.6,35.8,33.1,20.5
MT,Pondera ,299,"1,379","1,372","1,004",7.4,34,33.8,24.8
MT,Powder River ,64,351,493,326,5.2,28.4,40,26.4
MT,Powell ,594,"1,957","1,616","1,105",11.3,37.1,30.7,21
MT,Prairie ,70,372,327,203,7.2,38.3,33.6,20.9
MT,Ravalli ,"2,796","9,381","10,391","8,372",9,30.3,33.6,27.1
MT,Richland ,586,"2,906","2,687","1,452",7.7,38.1,35.2,19
MT,Roosevelt ,856,"2,244","2,267","1,110",13.2,34.6,35,17.1
MT,Rosebud ,744,"1,855","2,139","1,041",12.9,32.1,37,18
MT,Sanders ,942,"3,757","2,592","1,505",10.7,42.7,29.5,17.1
MT,Sheridan ,195,750,"1,009",604,7.6,29.3,39.4,23.6
MT,Silver Bow ,"1,911","7,910","7,429","6,177",8.2,33.8,31.7,26.4
MT,Stillwater ,344,"2,414","2,281","1,704",5.1,35.8,33.8,25.3
MT,Sweet Grass ,131,993,872,684,4.9,37.1,32.5,25.5
MT,Teton ,326,"1,358","1,487","1,024",7.8,32.4,35.4,24.4
MT,Toole ,530,"1,396","1,128",518,14.8,39.1,31.6,14.5
MT,Treasure ,33,203,200,134,5.8,35.6,35.1,23.5
MT,Valley ,327,"1,989","1,890","1,108",6.2,37.4,35.6,20.9
MT,Wheatland ,289,504,353,283,20.2,35.3,24.7,19.8
MT,Wibaux ,102,328,209,168,12.6,40.6,25.9,20.8
MT,Yellowstone ,"6,751","32,637","34,929","33,325",6.3,30.3,32.4,31
MT,Yellowstone National Park,,,,,,,,
NE,Adams ,"2,051","5,718","7,564","5,081",10,28,37.1,24.9
NE,Antelope ,334,"1,458","1,782",844,7.6,33,40.3,19.1
NE,Arthur ,16,74,112,78,5.7,26.4,40,27.9
NE,Banner ,15,150,242,106,2.9,29.2,47.2,20.7
NE,Blaine ,13,112,147,80,3.7,31.8,41.8,22.7
NE,Boone ,214,"1,262","1,443",756,5.8,34.3,39.3,20.6
NE,Box Butte ,621,"2,523","3,001","1,363",8.3,33.6,40,18.2
NE,Boyd ,82,629,522,275,5.4,41.7,34.6,18.2
NE,Brown ,180,918,709,445,8,40.8,31.5,19.8
NE,Buffalo ,"2,090","7,469","10,039","10,437",7,24.9,33.4,34.7
NE,Burt ,444,"1,720","1,640",841,9.6,37,35.3,18.1
NE,Butler ,438,"2,100","1,926","1,108",7.9,37.7,34.6,19.9
NE,Cass ,896,"5,272","6,612","4,824",5.1,29.9,37.6,27.4
NE,Cedar ,428,"2,025","2,177","1,115",7.4,35.2,37.9,19.4
NE,Chase ,307,679,"1,148",560,11.4,25.2,42.6,20.8
NE,Cherry ,364,"1,360","1,558",883,8.7,32.7,37.4,21.2
NE,Cheyenne ,457,"1,927","2,640","1,783",6.7,28.3,38.8,26.2
NE,Clay ,396,"1,390","1,680",779,9.3,32.7,39.6,18.4
NE,Colfax ,"1,971","1,958","1,728",963,29.8,29.6,26.1,14.5
NE,Cuming ,771,"2,205","1,713","1,419",12.6,36.1,28,23.2
NE,Custer ,536,"2,386","3,025","1,570",7.1,31.7,40.2,20.9
NE,Dakota ,"3,156","4,524","3,183","1,555",25.4,36.4,25.6,12.5
NE,Dawes ,255,"1,286","1,849","1,987",4.7,23.9,34.4,37
NE,Dawson ,"3,384","4,906","4,631","2,397",22.1,32,30.2,15.6
NE,Deuel ,141,462,562,219,10.2,33.4,40.6,15.8
NE,Dixon ,444,"1,410","1,238",798,11.4,36.2,31.8,20.5
NE,Dodge ,"2,626","8,926","8,482","4,563",10.7,36.3,34.5,18.6
NE,Douglas ,"35,961","76,856","107,561","140,449",10,21.3,29.8,38.9
NE,Dundy ,241,297,536,259,18.1,22.3,40.2,19.4
NE,Fillmore ,331,"1,477","1,471",815,8.1,36.1,35.9,19.9
NE,Franklin ,164,796,909,372,7.3,35.5,40.6,16.6
NE,Frontier ,82,543,798,356,4.6,30.5,44.9,20
NE,Furnas ,388,"1,126","1,234",642,11.4,33.2,36.4,18.9
NE,Gage ,"1,571","5,384","5,249","3,096",10.3,35.2,34.3,20.2
NE,Garden ,97,447,528,356,6.8,31.3,37,24.9
NE,Garfield ,56,439,623,319,3.9,30.5,43.4,22.2
NE,Gosper ,65,532,519,400,4.3,35.1,34.2,26.4
NE,Grant ,16,183,170,124,3.2,37.1,34.5,25.2
NE,Greeley ,106,567,715,292,6.3,33.8,42.6,17.4
NE,Hall ,"6,026","12,202","12,887","8,235",15.3,31,32.7,20.9
NE,Hamilton ,334,"1,919","2,367","1,624",5.3,30.7,37.9,26
NE,Harlan ,243,711,967,522,9.9,29.1,39.6,21.4
NE,Hayes ,82,185,302,126,11.8,26.6,43.5,18.1
NE,Hitchcock ,148,764,746,380,7.3,37.5,36.6,18.6
NE,Holt ,518,"2,333","2,724","1,504",7.3,33,38.5,21.2
NE,Hooker ,33,177,179,122,6.5,34.6,35,23.9
NE,Howard ,319,"1,663","1,556",914,7.2,37.4,35,20.5
NE,Jefferson ,451,"2,056","1,854",789,8.8,39.9,36,15.3
NE,Johnson ,521,"1,588","1,052",602,13.8,42.2,28,16
NE,Kearney ,172,"1,523","1,748","1,010",3.9,34.2,39.3,22.7
NE,Keith ,531,"1,910","2,323","1,241",8.8,31.8,38.7,20.7
NE,Keya Paha ,26,196,203,126,4.7,35.6,36.8,22.9
NE,Kimball ,301,887,960,478,11.5,33.8,36.6,18.2
NE,Knox ,519,"1,954","2,128","1,273",8.8,33.3,36.2,21.7
NE,Lancaster ,"12,495","42,019","62,851","74,339",6.5,21.9,32.8,38.8
NE,Lincoln ,"1,642","7,268","9,973","5,364",6.8,30,41.1,22.1
NE,Logan ,43,164,263,115,7.4,28,45,19.7
NE,Loup ,10,163,181,107,2.2,35.4,39.3,23.2
NE,McPherson ,37,84,133,84,10.9,24.9,39.3,24.9
NE,Madison ,"2,260","7,034","8,494","5,147",9.9,30.7,37,22.4
NE,Merrick ,332,"1,814","2,396",954,6,33,43.6,17.4
NE,Morrill ,450,"1,108","1,198",611,13.4,32.9,35.6,18.1
NE,Nance ,213,915,880,496,8.5,36.5,35.1,19.8
NE,Nemaha ,320,"1,447","1,542","1,292",7,31.4,33.5,28.1
NE,Nuckolls ,235,"1,200","1,078",595,7.6,38.6,34.7,19.1
NE,Otoe ,924,"3,956","3,633","2,368",8.5,36.4,33.4,21.8
NE,Pawnee ,230,783,598,342,11.8,40.1,30.6,17.5
NE,Perkins ,220,521,789,533,10.7,25.3,38.2,25.8
NE,Phelps ,396,"1,994","2,235","1,617",6.3,31.9,35.8,25.9
NE,Pierce ,254,"1,673","1,852","1,082",5.2,34.4,38.1,22.3
NE,Platte ,"2,463","6,665","7,768","4,822",11.3,30.7,35.8,22.2
NE,Polk ,294,"1,207","1,387",771,8,33,37.9,21.1
NE,Red Willow ,580,"2,331","3,066","1,387",7.9,31.7,41.6,18.8
NE,Richardson ,396,"2,071","2,282","1,060",6.8,35.7,39.3,18.2
NE,Rock ,50,384,346,206,5.1,38.9,35.1,20.9
NE,Saline ,"1,382","3,097","3,053","1,255",15.7,35.2,34.7,14.3
NE,Sarpy ,"5,401","23,961","38,715","45,557",4.8,21.1,34.1,40.1
NE,Saunders ,"1,035","4,253","5,370","3,620",7.2,29.8,37.6,25.4
NE,Scotts Bluff ,"3,016","7,002","8,777","5,412",12.5,28.9,36.3,22.4
NE,Seward ,643,"2,916","4,119","3,165",5.9,26.9,38,29.2
NE,Sheridan ,354,"1,266","1,202",873,9.6,34.3,32.5,23.6
NE,Sherman ,157,865,804,405,7,38.8,36,18.2
NE,Sioux ,60,278,320,239,6.7,31,35.7,26.6
NE,Stanton ,286,"1,314","1,791",676,7,32.3,44,16.6
NE,Thayer ,267,"1,280","1,369",721,7.3,35.2,37.6,19.8
NE,Thomas ,35,137,183,112,7.5,29.3,39.2,24
NE,Thurston ,480,"1,272","1,470",646,12.4,32.9,38,16.7
NE,Valley ,225,"1,083",996,681,7.5,36.3,33.4,22.8
NE,Washington ,589,"4,267","4,761","4,175",4.3,30.9,34.5,30.3
NE,Wayne ,224,"1,359","1,916","1,841",4.2,25.4,35.9,34.5
NE,Webster ,194,868,862,562,7.8,34.9,34.7,22.6
NE,Wheeler ,31,220,280,111,4.8,34.3,43.6,17.3
NE,York ,584,"2,746","3,364","2,618",6.3,29.5,36.1,28.1
NV,Churchill ,"1,492","5,327","6,767","2,880",9.1,32.4,41.1,17.5
NV,Clark ,"208,782","415,643","483,389","347,159",14.3,28.6,33.2,23.9
NV,Douglas ,"2,284","8,797","14,903","10,552",6.3,24.1,40.8,28.9
NV,Elko ,"4,906","9,833","12,408","6,055",14.8,29.6,37.4,18.2
NV,Esmeralda ,94,325,223,127,12.2,42.3,29,16.5
NV,Eureka ,90,516,563,155,6.8,39,42.5,11.7
NV,Humboldt ,"1,803","3,775","3,632","1,789",16.4,34.3,33,16.3
NV,Lander ,558,"1,428","1,280",427,15.1,38.7,34.7,11.6
NV,Lincoln ,540,"1,225","1,317",665,14.4,32.7,35.1,17.7
NV,Lyon ,"4,907","12,395","15,496","5,329",12.9,32.5,40.6,14
NV,Mineral ,432,"1,228","1,207",482,12.9,36.7,36,14.4
NV,Nye ,"4,816","12,475","12,639","3,890",14.2,36.9,37.4,11.5
NV,Pershing ,945,"1,740","1,712",762,18.3,33.7,33.2,14.8
NV,Storey ,162,942,"1,136",902,5.2,30,36.2,28.7
NV,Washoe ,"36,417","74,194","105,108","94,467",11.7,23.9,33.9,30.5
NV,White Pine ,996,"2,681","2,336","1,053",14.1,37.9,33.1,14.9
NV,Carson City,"4,939","10,705","14,594","8,654",12.7,27.5,37.5,22.3
NH,New Hampshire,"67,607","263,005","274,078","347,425",7.1,27.6,28.8,36.5
NH,Belknap ,"3,336","12,773","14,160","14,527",7.4,28.5,31.6,32.4
NH,Carroll ,"2,286","11,072","11,220","12,435",6.2,29.9,30.3,33.6
NH,Cheshire ,"3,713","16,625","15,407","17,288",7,31.3,29.1,32.6
NH,Coos ,"2,779","9,801","7,447","4,415",11.4,40.1,30.5,18.1
NH,Grafton ,"4,538","16,968","15,927","25,442",7.2,27,25.3,40.5
NH,Hillsborough ,"23,576","75,884","81,270","107,563",8.2,26.3,28.2,37.3
NH,Merrimack ,"6,698","29,457","32,092","37,668",6.3,27.8,30.3,35.6
NH,Rockingham ,"11,565","55,297","63,927","89,911",5.2,25.1,29,40.7
NH,Strafford ,"6,270","23,287","24,040","29,644",7.5,28,28.9,35.6
NH,Sullivan ,"2,846","11,841","8,588","8,532",8.9,37.2,27,26.8
NJ,Atlantic ,"24,304","59,511","50,832","50,736",13.1,32.1,27.4,27.4
NJ,Bergen ,"50,921","153,824","133,974","316,107",7.8,23.5,20.5,48.3
NJ,Burlington ,"20,101","88,538","87,027","117,276",6.4,28.3,27.8,37.5
NJ,Camden ,"40,216","104,485","92,295","110,463",11.6,30.1,26.6,31.8
NJ,Cape May ,"6,156","22,758","18,982","21,980",8.8,32.6,27.2,31.5
NJ,Cumberland ,"22,944","40,015","25,708","15,244",22.1,38.5,24.7,14.7
NJ,Essex ,"75,835","149,777","121,387","185,092",14.3,28.1,22.8,34.8
NJ,Gloucester ,"14,261","65,856","55,882","63,633",7.1,33,28,31.9
NJ,Hudson ,"75,223","122,015","83,820","194,212",15.8,25.7,17.6,40.9
NJ,Hunterdon ,"4,335","18,755","19,362","45,980",4.9,21.2,21.9,52
NJ,Mercer ,"29,717","60,605","53,403","103,968",12,24.5,21.6,42
NJ,Middlesex ,"57,848","146,032","121,282","242,021",10.2,25.7,21.4,42.7
NJ,Monmouth ,"29,723","104,602","105,350","195,373",6.8,24,24.2,44.9
NJ,Morris ,"19,588","69,634","70,935","184,984",5.7,20.2,20.6,53.6
NJ,Ocean ,"33,410","138,021","117,036","118,698",8.2,33.9,28.7,29.2
NJ,Passaic ,"55,296","113,580","70,711","93,486",16.6,34.1,21.2,28.1
NJ,Salem ,"5,464","16,680","12,839","9,271",12.3,37.7,29,20.9
NJ,Somerset ,"12,158","45,738","46,127","124,687",5.3,20,20.2,54.5
NJ,Sussex ,"5,291","31,645","28,717","35,257",5.2,31.4,28.5,34.9
NJ,Union ,"51,661","107,744","84,165","131,578",13.8,28.7,22.4,35.1
NJ,Warren ,"6,661","23,753","20,971","24,010",8.8,31.5,27.8,31.8
NM,Bernalillo ,"51,916","107,599","146,410","157,155",11.2,23.2,31.6,33.9
NM,Catron ,180,"1,269",852,656,6.1,42.9,28.8,22.2
NM,Chaves ,"9,090","11,515","13,432","7,350",22,27.8,32.5,17.8
NM,Cibola ,"3,154","5,763","6,786","2,433",17.4,31.8,37.4,13.4
NM,Colfax ,984,"2,986","3,276","1,870",10.8,32.8,35.9,20.5
NM,Curry ,"5,220","8,412","10,943","6,049",17,27.5,35.7,19.8
NM,De Baca ,182,526,487,130,13.7,39.7,36.8,9.8
NM,Dona Ana ,"26,731","29,324","37,946","35,624",20.6,22.6,29.3,27.5
NM,Eddy ,"5,740","13,656","11,718","5,904",15.5,36.9,31.7,15.9
NM,Grant ,"2,578","5,107","6,860","5,461",12.9,25.5,34.3,27.3
NM,Guadalupe ,677,"1,412",881,391,20.1,42,26.2,11.6
NM,Harding ,46,126,118,93,12,32.9,30.8,24.3
NM,Hidalgo ,640,"1,035",961,435,20.8,33.7,31.3,14.2
NM,Lea ,"11,365","13,575","11,537","5,470",27.1,32.4,27.5,13
NM,Lincoln ,"1,240","4,258","4,848","4,290",8.5,29.1,33.1,29.3
NM,Los Alamos ,283,"1,289","2,803","8,676",2.2,9.9,21.5,66.5
NM,Luna ,"4,885","4,983","3,770","1,895",31.4,32.1,24.3,12.2
NM,McKinley ,"10,825","14,797","13,210","5,088",24.6,33.7,30.1,11.6
NM,Mora ,274,"1,146","1,493",366,8.4,34.9,45.5,11.2
NM,Otero ,"7,095","11,741","16,087","8,179",16.5,27.2,37.3,19
NM,Quay ,"1,018","2,365","1,611",940,17.2,39.9,27.1,15.8
NM,Rio Arriba ,"3,669","8,328","9,727","4,923",13.8,31.3,36.5,18.5
NM,Roosevelt ,"2,085","3,236","2,841","2,735",19.1,29.7,26.1,25.1
NM,Sandoval ,"9,921","23,979","33,288","28,771",10.3,25,34.7,30
NM,San Juan ,"12,887","25,023","31,215","12,385",15.8,30.7,38.3,15.2
NM,San Miguel ,"3,658","5,121","6,274","4,418",18.8,26.3,32.2,22.7
NM,Santa Fe ,"12,151","25,183","27,521","44,908",11.1,22.9,25.1,40.9
NM,Sierra ,"1,322","2,462","3,100","1,771",15.3,28.4,35.8,20.5
NM,Socorro ,"2,291","3,981","2,352","2,323",20.9,36.4,21.5,21.2
NM,Taos ,"2,610","6,295","8,333","6,714",10.9,26.3,34.8,28
NM,Torrance ,"1,540","3,982","3,653","1,694",14.2,36.6,33.6,15.6
NM,Union ,616,"1,295",774,389,20,42.1,25.2,12.7
NM,Valencia ,"8,685","16,718","16,932","8,710",17,32.8,33.2,17.1
NY,Albany ,"15,030","49,310","55,746","84,423",7.3,24.1,27.3,41.3
NY,Allegany ,"3,023","11,052","9,978","6,102",10,36.7,33.1,20.2
NY,Bronx ,"258,956","255,427","226,620","183,134",28,27.6,24.5,19.8
NY,Broome ,"12,313","40,079","40,084","36,474",9.5,31.1,31.1,28.3
NY,Cattaraugus ,"6,110","20,869","15,915","10,136",11.5,39.4,30,19.1
NY,Cayuga ,"6,812","18,306","18,015","12,393",12.3,33,32.4,22.3
NY,Chautauqua ,"9,985","32,222","28,129","19,522",11.1,35.9,31.3,21.7
NY,Chemung ,"5,789","21,581","18,254","14,297",9.7,36,30.5,23.9
NY,Chenango ,"4,076","13,439","10,628","6,315",11.8,39,30.8,18.3
NY,Clinton ,"6,658","20,505","15,203","12,588",12.1,37.3,27.7,22.9
NY,Columbia ,"4,392","13,918","13,036","14,260",9.6,30.5,28.6,31.3
NY,Cortland ,"2,800","9,850","9,406","8,106",9.3,32.7,31.2,26.9
NY,Delaware ,"3,875","12,386","9,409","7,218",11.8,37.7,28.6,21.9
NY,Dutchess ,"19,326","53,655","59,529","71,955",9.5,26.2,29.1,35.2
NY,Erie ,"55,426","178,600","193,051","216,636",8.6,27.7,30,33.7
NY,Essex ,"2,546","9,451","8,814","7,920",8.9,32.9,30.7,27.6
NY,Franklin ,"4,702","13,421","10,631","6,934",13.2,37.6,29.8,19.4
NY,Fulton ,"4,872","13,795","13,080","6,853",12.6,35.7,33.9,17.8
NY,Genesee ,"3,277","15,105","13,992","8,891",7.9,36.6,33.9,21.5
NY,Greene ,"4,523","13,526","9,555","7,823",12.8,38.2,27,22.1
NY,Hamilton ,617,"1,007","1,231",681,17.4,28.5,34.8,19.3
NY,Herkimer ,"4,407","16,236","14,013","9,188",10.1,37,32,21
NY,Jefferson ,"6,457","24,590","25,207","16,115",8.9,34,34.8,22.3
NY,Kings ,"326,469","455,299","347,052","648,461",18.4,25.6,19.5,36.5
NY,Lewis ,"1,869","8,469","5,039","2,996",10.2,46.1,27.4,16.3
NY,Livingston ,"4,403","14,037","13,414","10,833",10.3,32.9,31.4,25.4
NY,Madison ,"4,215","16,311","14,469","12,911",8.8,34,30.2,27
NY,Monroe ,"49,470","122,362","146,393","192,281",9.7,24,28.7,37.7
NY,Montgomery ,"4,852","12,028","11,357","5,976",14.2,35.2,33.2,17.5
NY,Nassau ,"82,341","216,539","216,643","425,087",8.8,23,23,45.2
NY,New York ,"162,237","155,048","171,461","758,325",13,12.4,13.7,60.8
NY,Niagara ,"13,257","51,509","50,042","35,799",8.8,34.2,33.2,23.8
NY,Oneida ,"18,190","52,346","49,428","39,315",11.4,32.9,31,24.7
NY,Onondaga ,"29,342","79,760","94,637","111,919",9.3,25.3,30,35.5
NY,Ontario ,"5,046","20,535","24,679","26,474",6.6,26.8,32.2,34.5
NY,Orange ,"24,774","71,452","72,901","71,791",10.3,29.7,30.3,29.8
NY,Orleans ,"3,821","11,503","9,601","4,707",12.9,38.8,32.4,15.9
NY,Oswego ,"9,804","30,175","25,276","14,894",12.2,37.6,31.5,18.6
NY,Otsego ,"3,497","12,780","11,305","12,325",8.8,32,28.3,30.9
NY,Putnam ,"4,951","18,926","18,394","28,027",7,26.9,26.2,39.9
NY,Queens ,"303,881","454,105","369,271","518,999",18.5,27.6,22.4,31.5
NY,Rensselaer ,"9,302","32,314","35,983","33,483",8.4,29.1,32.4,30.1
NY,Richmond ,"37,675","101,738","81,014","108,326",11.5,30.9,24.6,33
NY,Rockland ,"24,580","45,768","50,529","82,632",12.1,22.5,24.8,40.6
NY,St. Lawrence ,"8,100","26,522","20,259","16,975",11.3,36.9,28.2,23.6
NY,Saratoga ,"9,508","39,539","45,544","66,902",5.9,24.5,28.2,41.4
NY,Schenectady ,"10,381","31,383","31,616","33,580",9.7,29.3,29.6,31.4
NY,Schoharie ,"2,306","8,205","6,748","4,951",10.4,36.9,30.4,22.3
NY,Schuyler ,"1,414","4,824","4,025","2,937",10.7,36.5,30.5,22.3
NY,Seneca ,"3,612","8,665","7,345","5,181",14.6,34.9,29.6,20.9
NY,Steuben ,"6,811","25,439","20,090","15,729",10,37.4,29.5,23.1
NY,Suffolk ,"98,607","287,538","276,327","366,348",9.6,27.9,26.9,35.6
NY,Sullivan ,"7,344","17,834","15,609","12,314",13.8,33.6,29.4,23.2
NY,Tioga ,"3,192","12,549","10,149","8,849",9.2,36.1,29.2,25.5
NY,Tompkins ,"3,447","11,592","13,231","31,512",5.8,19.4,22.1,52.7
NY,Ulster ,"12,295","38,655","37,135","41,847",9.5,29.8,28.6,32.2
NY,Warren ,"3,989","15,212","14,250","14,339",8.3,31.8,29.8,30
NY,Washington ,"5,519","17,111","13,058","9,151",12.3,38.2,29.1,20.4
NY,Wayne ,"6,738","22,077","20,784","14,229",10.6,34.6,32.6,22.3
NY,Westchester ,"81,329","130,268","133,464","320,897",12.2,19.6,20,48.2
NY,Wyoming ,"3,022","11,861","9,440","4,821",10.4,40.7,32.4,16.5
NY,Yates ,"2,287","5,643","4,616","4,051",13.8,34,27.8,24.4
NC,Alamance ,"15,629","29,784","36,737","25,881",14.5,27.6,34,24
NC,Alexander ,"4,924","10,321","7,551","3,930",18.4,38.6,28.3,14.7
NC,Alleghany ,"1,926","2,430","2,513","1,374",23.4,29.5,30.5,16.7
NC,Anson ,"3,522","7,504","5,336","1,730",19.5,41.5,29.5,9.6
NC,Ashe ,"3,187","6,534","6,663","3,848",15.8,32.3,32.9,19
NC,Avery ,"2,325","3,900","4,198","2,701",17.7,29.7,32,20.6
NC,Beaufort ,"4,188","11,331","11,660","6,533",12.4,33.6,34.6,19.4
NC,Bertie ,"3,095","5,529","3,966","1,945",21.3,38,27.3,13.4
NC,Bladen ,"4,798","8,075","7,640","3,636",19.9,33.4,31.6,15.1
NC,Brunswick ,"9,523","28,379","32,838","28,368",9.6,28.6,33.1,28.6
NC,Buncombe ,"16,793","43,596","52,790","72,933",9,23.4,28.4,39.2
NC,Burke ,"12,258","19,602","21,751","10,663",19.1,30.5,33.8,16.6
NC,Cabarrus ,"13,302","33,485","44,796","41,472",10,25.2,33.7,31.2
NC,Caldwell ,"11,913","19,103","18,775","8,965",20.3,32.5,32,15.3
NC,Camden ,"1,042","2,097","2,818","1,302",14.4,28.9,38.8,17.9
NC,Carteret ,"4,603","13,055","19,545","14,752",8.9,25.1,37.6,28.4
NC,Caswell ,"3,424","5,544","5,123","2,581",20.5,33.3,30.7,15.5
NC,Catawba ,"16,024","33,069","35,333","23,742",14.8,30.6,32.7,21.9
NC,Chatham ,"6,026","10,910","13,036","21,089",11.8,21.4,25.5,41.3
NC,Cherokee ,"2,912","7,354","6,879","4,086",13.7,34.6,32.4,19.2
NC,Chowan ,"1,682","3,598","3,150","2,075",16,34.3,30,19.8
NC,Clay ,958,"2,834","2,616","1,890",11.5,34.2,31.5,22.8
NC,Cleveland ,"10,650","23,073","21,169","11,566",16,34.7,31.9,17.4
NC,Columbus ,"7,262","13,660","13,310","5,144",18.4,34.7,33.8,13.1
NC,Craven ,"7,957","17,478","24,669","17,352",11.8,25.9,36.6,25.7
NC,Cumberland ,"19,001","52,253","82,315","51,252",9.3,25.5,40.2,25
NC,Currituck ,"1,980","5,059","7,019","4,220",10.8,27.7,38.4,23.1
NC,Dare ,"1,793","6,180","9,892","8,785",6.7,23.2,37.1,33
NC,Davidson ,"19,082","38,062","36,809","21,270",16.6,33,31.9,18.5
NC,Davie ,"3,979","9,386","9,680","6,863",13.3,31.4,32.4,22.9
NC,Duplin ,"10,317","12,972","12,211","4,436",25.8,32.5,30.6,11.1
NC,Durham ,"24,310","36,237","49,422","99,488",11.6,17.3,23.6,47.5
NC,Edgecombe ,"7,438","13,628","10,885","4,629",20.3,37.3,29.8,12.7
NC,Forsyth ,"27,935","63,603","72,926","84,008",11.2,25.6,29.3,33.8
NC,Franklin ,"7,114","13,198","14,976","9,526",15.9,29.5,33.4,21.3
NC,Gaston ,"22,783","46,018","49,695","30,712",15.3,30.8,33.3,20.6
NC,Gates ,"1,145","3,032","2,964","1,204",13.7,36.3,35.5,14.4
NC,Graham ,"1,151","2,249","1,827",815,19,37.2,30.2,13.5
NC,Granville ,"6,522","12,936","12,677","9,243",15.8,31.3,30.6,22.3
NC,Greene ,"3,870","4,861","4,640","1,571",25.9,32.5,31.1,10.5
NC,Guilford ,"37,932","82,991","104,817","122,918",10.9,23.8,30.1,35.3
NC,Halifax ,"8,203","13,753","9,182","5,253",22.5,37.8,25.2,14.4
NC,Harnett ,"11,435","25,063","29,886","17,367",13.7,29.9,35.7,20.7
NC,Haywood ,"5,383","11,993","16,512","11,287",11.9,26.5,36.6,25
NC,Henderson ,"8,546","20,478","28,435","26,740",10.1,24.3,33.8,31.8
NC,Hertford ,"3,477","5,307","5,496","2,451",20.8,31.7,32.8,14.6
NC,Hoke ,"4,769","9,475","13,584","6,272",14,27.8,39.8,18.4
NC,Hyde ,709,"1,602","1,182",363,18.4,41.5,30.7,9.4
NC,Iredell ,"13,015","33,120","39,423","32,473",11,28.1,33.4,27.5
